09/01/2010;Fátima
09/01/2010;Floresta
17/01/2010;Paranaguamirim
21/01/2010;Parque Guarani
09/01/2010;Floresta
28/01/2010;Comasa
04/02/2010;Itinga
14/02/2010;João Costa
15/02/2010;Jardim Paraíso
20/02/2010;Paranaguamirim
27/02/2010;Ulysses Guimarães
11/03/2010;Itinga
13/03/2010;Aventureiro
13/03/2010;Jardim Paraíso
18/03/2010;Jardim Paraíso
21/03/2010;Paranaguamirim
23/03/2010;Boehmerwaldt
04/04/2010;Comasa
11/04/2010;Comasa
28/04/2010;Aventureiro
04/05/2010;Morro do Meio
30/04/2010;Aventureiro
08/05/2010;Floresta
09/05/2010;América
09/05/2010;Paranaguamirim
09/05/2010;Paranaguamirim
10/05/2010;Bom Retiro
16/05/2010;Jarivatuba
23/05/2010;Jardim Iririú
30/05/2010;Jardim Paraíso
30/05/2010;Itaum
06/06/2010;Pirabeiraba
12/06/2010;Floresta
14/06/10;vila nova
17/06/2010;Paranaguamirim
18/06/10;Ulysses Guimarães
18/06/10;Jardim paraiso
22/06/10;Jardim Iririú
03/07/10;Guanabara
06/07/10;Itaum
09/07/10;Fátima
24/07/2010;Paranaguamirim
26/07/2010;Paranaguamirim
30/07/2010;Morro do Meio
31/07/2010;Jardim Paraíso
31/07/2010;Bucarein
01/08/2010;Itaum
03/08/2010;Ulysses Guimarães
09/08/2010;Nova Brasília
11/08/2010;Anita Garibaldi
